35	3.682439
26	3.0277462
54	2.8019395
115	2.7288792
10	2.6002138
6	2.5352607
119	2.4570513
59	2.4418497
152	2.3099174
28	2.267723
187	2.1936798
24	2.121093
226	2.0
51	1.9977611
13	1.8593272
21	1.8574736
62	1.8124362
146	1.7832452
199	1.7502152
208	1.745158
238	1.6860346
40	1.6615698
155	1.6432211
106	1.6376859
248	1.6350663
88	1.6342976
205	1.6118279
160	1.5861366
43	1.5474006
98	1.484811
69	1.4780836
212	1.4607239
102	1.4556575
194	1.4531507
52	1.3981094
210	1.3287885
25	1.3091387
38	1.3088684
203	1.3027523
191	1.273601
65	1.1785988
125	1.1771808
91	1.1716144
162	1.1617835
168	1.157305
44	1.1526115
223	1.149847
128	1.1458623
206	1.1296816
245	1.1290891
151	1.1207464
134	1.1113377
31	1.096051
82	1.0825688
141	1.082293
56	1.0807644
127	1.0773699
104	1.0746919
237	1.0682976
139	1.0608917
103	1.0333759
157	1.0314353
107	1.0242163
87	1.0196179
181	1.005297
216	1.0028026
50	1.0
227	0.9826708
78	0.97979796
149	0.97657084
137	0.9718876
213	0.9676433
184	0.959596
171	0.95900404
53	0.94949496
179	0.94186485
232	0.93939394
147	0.9191919
169	0.91566885
132	0.91539246
196	0.89426756
166	0.8888889
183	0.8805096
19	0.86868685
136	0.86216563
189	0.85858583
76	0.8484849
197	0.8459321
142	0.83838385
108	0.82828283
105	0.8147771
143	0.8093782
164	0.7979798
235	0.7971458
97	0.79643315
23	0.79272485
8	0.78287464
121	0.7811466
144	0.77471966
138	0.764526
